"ModelID","CCLEName","TissueOrigin","DepmapModelType","OncotreeLineage","OncotreePrimaryDisease","OncotreeSubtype","OncotreeCode","PrimaryOrMetastasis","Age","AgeCategory","Sex","PatientRace"
"ACH-000333","JHOM2B_OVARY",NA,"MOV","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Mucinous Ovarian Cancer","MOV","Primary",56,"Adult","Female",""
"ACH-000334","DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"DLBCLNOS","Lymphoid","Mature B-Cell Neoplasms","Diffuse Large B-Cell Lymphoma, NOS","DLBCLNOS","Metastatic",45,"Adult","Male","caucasian"
"ACH-000335","MSTO211H_PLEURA",NA,"PLBMESO","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Biphasic Type","PLBMESO","Metastatic",62,"Adult","Male","caucasian"
"ACH-000336","OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"AML","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML","Primary",57,"Adult","Male",""
"ACH-000337","NCIH3122_LUNG",NA,"LUAD","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD","Primary",NA,"Unknown","Male",""
"ACH-000338","SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ALCLALKP","Lymphoid","Mature T and NK Neoplasms","Anaplastic Large-Cell Lymphoma ALK Positive","ALCLALKP","Primary",11,"Pediatric","Male",""
"ACH-000339","HCC461_LUNG",NA,"LUAD","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD","Primary",69,"Adult","Male",""
"ACH-000340","HS870T_FIBROBLAST",NA,"ZFIBBON","Fibroblast","Non-Cancerous","Fibroblast, Bone","","",22,"Adult","Male",""
"ACH-000341","SKNFI_AUTONOMIC_GANGLIA",NA,"NBL","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","NBL","Metastatic",11,"Pediatric","Male","caucasian"
"ACH-000342","CL14_LARGE_INTESTINE",NA,"COAD","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD","Primary",NA,"Unknown","Male",""
"ACH-000343","NCIH522_LUNG",NA,"LUAD","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD","Primary",58,"Adult","Male","caucasian"
"ACH-000344","SNU668_STOMACH",NA,"DSTAD","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Diffuse Type Stomach Adenocarcinoma","DSTAD","Metastatic",63,"Adult","Male","asian"
"ACH-000345","KPNRTBM1_AUTONOMIC_GANGLIA",NA,"NBL","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","NBL","Metastatic",1,"Pediatric","Female",""
"ACH-000346","JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"BPLL","Lymphoid","Mature B-Cell Neoplasms","B-Cell Prolymphocytic Leukemia","BPLL","",73,"Adult","Male",""
"ACH-000347","QGP1_PANCREAS",NA,"PANET","Pancreas","Pancreatic Neuroendocrine Tumor","Pancreatic Neuroendocrine Tumor","PANET","Primary",61,"Adult","Male","asian"
"ACH-000348","RPMI7951_SKIN",NA,"MEL","Skin","Melanoma","Melanoma","MEL","Metastatic",18,"Adult","Female","caucasian"
"ACH-000349","HCC1500_BREAST",NA,"DCIS","Breast","Breast Ductal Carcinoma In Situ","Breast Ductal Carcinoma In Situ","DCIS","Primary",32,"Adult","Female","black_or_african_american"
"ACH-000350","COLO678_LARGE_INTESTINE",NA,"COAD","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD","Metastatic",69,"Adult","Male",""
"ACH-000351","MKN1_STOMACH",NA,"STAS","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Adenosquamous Carcinoma of the Stomach","STAS","Metastatic",72,"Adult","Male","asian"
"ACH-000352","HCC1428_BREAST",NA,"BRCA","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","BRCA","Metastatic",49,"Adult","Female","caucasian"
"ACH-000353","TE15_OESOPHAGUS",NA,"ESCC","Esophagus/Stomach","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma","ESCC","Primary",58,"Adult","Female",""
"ACH-000354","CAPAN1_PANCREAS",NA,"PAAD","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD","Metastatic",40,"Adult","Male","caucasian"
"ACH-000355","NCIH82_LUNG",NA,"SCLC","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC","Metastatic",41,"Adult","Male","caucasian"
"ACH-000356","MKN45_STOMACH",NA,"DSTAD","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Diffuse Type Stomach Adenocarcinoma","DSTAD","Metastatic",62,"Adult","Female","asian"
"ACH-000357","JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"MCL","Lymphoid","Mature B-Cell Neoplasms","Mantle Cell Lymphoma","MCL","",78,"Adult","Female",""
"ACH-000358","NCIH69_LUNG",NA,"SCLC","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC","Metastatic",55,"Adult","Male","caucasian"
"ACH-000359","MG63_BONE",NA,"OS","Bone","Osteosarcoma","Osteosarcoma","OS","Primary",14,"Pediatric","Male","caucasian"
"ACH-000360","NCIH508_LARGE_INTESTINE",NA,"COAD","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD","Metastatic",55,"Adult","Male","caucasian"
"ACH-000361","SKHEP1_LIVER",NA,"HCC","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","HCC","Metastatic",52,"Adult","Male","caucasian"
"ACH-000362","MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"AML","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML","Primary",20,"Adult","Male",""
"ACH-000363","SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"PCM","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","PCM","Primary",54,"Adult","Male",""
"ACH-000364","U2OS_BONE",NA,"OS","Bone","Osteosarcoma","Osteosarcoma","OS","Primary",15,"Pediatric","Female","caucasian"
"ACH-000365","SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"DLBCLNOS","Lymphoid","Mature B-Cell Neoplasms","Diffuse Large B-Cell Lymphoma, NOS","DLBCLNOS","Metastatic",38,"Adult","Male",""
"ACH-000366","SKNDZ_AUTONOMIC_GANGLIA",NA,"NBL","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","NBL","Metastatic",2,"Pediatric","Female","caucasian"
"ACH-000367","NCIH226_LUNG",NA,"PLEMESO","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","PLEMESO","Metastatic",NA,"Unknown","Male",""
"ACH-000368","SNU1105_CENTRAL_NERVOUS_SYSTEM",NA,"GB","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Primary",61,"Adult","Male","asian"
"ACH-000369","MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"AML","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML","Primary",77,"Adult","Female","asian"
"ACH-000370","SNU626_CENTRAL_NERVOUS_SYSTEM",NA,"GB","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Primary",65,"Adult","Male","asian"
"ACH-000371","RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"DLBCLNOS","Lymphoid","Mature B-Cell Neoplasms","Diffuse Large B-Cell Lymphoma, NOS","DLBCLNOS","Metastatic",52,"Adult","Male","caucasian"
"ACH-000372","P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"TLL","Lymphoid","T-Lymphoblastic Leukemia/Lymphoma","T-Lymphoblastic Leukemia/Lymphoma","TLL","Primary",7,"Pediatric","Male",""
"ACH-000373","SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"AML","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML","Primary",76,"Adult","Male","asian"
"ACH-000374","HCC1143_BREAST",NA,"IDC","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","IDC","Primary",52,"Adult","Female","caucasian"
"ACH-000375","G402_SOFT_TISSUE",NA,"RCC","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","RCC","Primary",0,"Pediatric","Female","caucasian"
"ACH-000376","SF295_CENTRAL_NERVOUS_SYSTEM",NA,"GB","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Primary",67,"Adult","Female",""
"ACH-000377","SNU478_BILIARY_TRACT",NA,"AMPCA","Ampulla of Vater","Ampullary Carcinoma","Ampullary Carcinoma","AMPCA","Primary",NA,"Unknown","Unknown","asian"
"ACH-000378","NCIH647_LUNG",NA,"LUAS","Lung","Non-Small Cell Lung Cancer","Lung Adenosquamous Carcinoma","LUAS","Metastatic",56,"Adult","Male","caucasian"
"ACH-000379","NCIH1781_LUNG",NA,"LUAD","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD","Metastatic",66,"Adult","Female","caucasian"
"ACH-000380","KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"PCM","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","PCM","Primary",64,"Adult","Female",""
"ACH-000381","T84_LARGE_INTESTINE",NA,"COAD","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD","Metastatic",72,"Adult","Male",""
"ACH-000382","CORL24_LUNG",NA,"SCLC","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC","Metastatic",71,"Adult","Male",""
"ACH-000383","OE33_OESOPHAGUS",NA,"ESCA","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Esophageal Adenocarcinoma","ESCA","Primary",73,"Adult","Female","caucasian"
"ACH-000384","SW780_URINARY_TRACT",NA,"BLCA","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","BLCA","Primary",80,"Adult","Female","caucasian"
"ACH-000385","SKRC52_KIDNEY",NA,"RCC","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","RCC","Primary",51,"Adult","Female",""
"ACH-000386","KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"AML","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML","Primary",59,"Adult","Male","caucasian"
"ACH-000387","TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"AML","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML","",35,"Adult","Male","asian"
"ACH-000388","NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"DLBCLNOS","Lymphoid","Mature B-Cell Neoplasms","Diffuse Large B-Cell Lymphoma, NOS","DLBCLNOS","Metastatic",73,"Adult","Male","caucasian"
"ACH-000389","H4_CENTRAL_NERVOUS_SYSTEM",NA,"ASTR","CNS/Brain","Diffuse Glioma","Astrocytoma","ASTR","Primary",37,"Adult","Male","caucasian"
"ACH-000390","LUDLU1_LUNG",NA,"LUSC","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","LUSC","Primary",72,"Adult","Male","caucasian"
"ACH-000391","MHHES1_BONE",NA,"ES","Bone","Ewing Sarcoma","Ewing Sarcoma","ES","Metastatic",12,"Pediatric","Male","caucasian"
"ACH-000392","CALU3_LUNG",NA,"LUAD","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD","Metastatic",25,"Adult","Male","caucasian"
"ACH-000393","HLF_LIVER",NA,"HCC","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","HCC","Primary",68,"Adult","Male","asian"
"ACH-000394","NCIH2081_LUNG",NA,"SCLC","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC","Metastatic",59,"Adult","Female","caucasian"
"ACH-000395","NCIH520_LUNG",NA,"LUSC","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","LUSC","Primary",NA,"Unknown","Male",""
"ACH-000396","J82_URINARY_TRACT",NA,"BLCA","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","BLCA","Primary",58,"Adult","Male","caucasian"
"ACH-000397","TEN_ENDOMETRIUM",NA,"UCCC","Uterus","Endometrial Carcinoma","Uterine Clear Cell Carcinoma","UCCC","Primary",74,"Adult","Female","asian"
"ACH-000398","RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ABC","Lymphoid","Mature B-Cell Neoplasms","Activated B-cell Type","ABC","",57,"Adult","Female",""
"ACH-000399","NCIH2196_LUNG",NA,"SCLC","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC","Metastatic",67,"Adult","Male","caucasian"
"ACH-000400","SKCO1_LARGE_INTESTINE",NA,"COAD","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD","Metastatic",65,"Adult","Male","caucasian"
"ACH-000401","COLO800_SKIN",NA,"SKCM","Skin","Melanoma","Cutaneous Melanoma","SKCM","Metastatic",14,"Pediatric","Male",""
"ACH-000402","BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"BL","Lymphoid","Mature B-Cell Neoplasms","Burkitt Lymphoma","BL","",16,"Pediatric","Male","caucasian"
"ACH-000403","NCIH747_LARGE_INTESTINE",NA,"COAD","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD","Metastatic",69,"Adult","Male","caucasian"
"ACH-000404","K029AX_SKIN",NA,"SKCM","Skin","Melanoma","Cutaneous Melanoma","SKCM","Primary",NA,"Unknown","Unknown",""
"ACH-000405","MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"CLLSLL","Lymphoid","Mature B-Cell Neoplasms","Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma","CLLSLL","",61,"Adult","Male","caucasian"
"ACH-000406","U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"AML","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML","Metastatic",37,"Adult","Male","caucasian"
"ACH-000407","SNU685_ENDOMETRIUM",NA,"UCS","Uterus","Endometrial Carcinoma","Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor","UCS","Primary",70,"Adult","Female","asian"
"ACH-000408","TE5_OESOPHAGUS",NA,"ESCC","Esophagus/Stomach","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma","ESCC","",73,"Adult","Female",""
"ACH-000409","OVSAHO_OVARY",NA,"HGSOC","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","HGSOC","Metastatic",56,"Adult","Female","asian"
"ACH-000410","SAOS2_BONE",NA,"OS","Bone","Osteosarcoma","Osteosarcoma","OS","Primary",11,"Pediatric","Female","caucasian"
"ACH-000411","769P_KIDNEY",NA,"CCRCC","Kidney","Renal Cell Carcinoma","Renal Clear Cell Carcinoma","CCRCC","Primary",63,"Adult","Female","caucasian"
"ACH-000412","SNU1197_LARGE_INTESTINE",NA,"COAD","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD","Primary",70,"Adult","Male","asian"
"ACH-000413","HS739T_FIBROBLAST",NA,"ZFIBBRE","Fibroblast","Non-Cancerous","Fibroblast, Breast","","",52,"Adult","Female","asian"
"ACH-000414","NCIH1944_LUNG",NA,"LUAD","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD","Metastatic",62,"Adult","Female","caucasian"
"ACH-000415","BICR6_UPPER_AERODIGESTIVE_TRACT",NA,"HPHSC","Head and Neck","Head and Neck Squamous Cell Carcinoma","Hypopharynx Squamous Cell Carcinoma","HPHSC","Primary",NA,"Unknown","Male","caucasian"
"ACH-000416","NCIH838_LUNG",NA,"LUAD","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD","Metastatic",59,"Adult","Male","caucasian"
"ACH-000417","PANC0813_PANCREAS",NA,"PAAD","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD","Primary",85,"Adult","Male","caucasian"
"ACH-000418","SW1353_BONE",NA,"CHS","Bone","Chondrosarcoma","Chondrosarcoma","CHS","Primary",72,"Adult","Female","caucasian"
"ACH-000419","KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"PCM","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","PCM","Primary",77,"Adult","Female","asian"
"ACH-000420","SNU449_LIVER",NA,"HCC","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","HCC","Primary",52,"Adult","Male","asian"
"ACH-000421","SW837_LARGE_INTESTINE",NA,"READ","Bowel","Colorectal Adenocarcinoma","Rectal Adenocarcinoma","READ","Primary",53,"Adult","Male","caucasian"
"ACH-000422","SNU475_LIVER",NA,"HCC","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","HCC","Primary",43,"Adult","Male","asian"
"ACH-000423","SKMEL3_SKIN",NA,"SKCM","Skin","Melanoma","Cutaneous Melanoma","SKCM","Metastatic",42,"Adult","Female","caucasian"
"ACH-000424","TC71_BONE",NA,"ES","Bone","Ewing Sarcoma","Ewing Sarcoma","ES","Primary",22,"Adult","Male",""
"ACH-000425","UACC62_SKIN",NA,"MEL","Skin","Melanoma","Melanoma","MEL","Primary",NA,"Unknown","Unknown",""
"ACH-000426","KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"PCM","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","PCM","Primary",65,"Adult","Female","asian"
"ACH-000427","NCIN87_STOMACH",NA,"TSTAD","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Tubular Stomach Adenocarcinoma","TSTAD","Metastatic",NA,"Unknown","Male",""
"ACH-000428","UO31_KIDNEY",NA,"RCC","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","RCC","Primary",NA,"Unknown","Female",""
"ACH-000429","A704_KIDNEY",NA,"RCC","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","RCC","Primary",78,"Adult","Male",""
"ACH-000430","TYKNU_OVARY",NA,"HGSOC","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","HGSOC","Primary",38,"Adult","Female","asian"
"ACH-000431","NCIH1694_LUNG",NA,"SCLC","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","SCLC","Metastatic",61,"Adult","Male","caucasian"
"ACH-000432","BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"CMLBCRABL1","Myeloid","Myeloproliferative Neoplasms","Chronic Myeloid Leukemia, BCR-ABL1+","CMLBCRABL1","Primary",45,"Adult","Male",""
"ACH-000433","CAKI1_KIDNEY",NA,"CCRCC","Kidney","Renal Cell Carcinoma","Renal Clear Cell Carcinoma","CCRCC","Metastatic",49,"Adult","Male","caucasian"
"ACH-000434","NCIH1915_LUNG",NA,"LCLC","Lung","Non-Small Cell Lung Cancer","Large Cell Lung Carcinoma","LCLC","Metastatic",61,"Adult","Female","caucasian"
"ACH-000435","EFE184_ENDOMETRIUM",NA,"UCEC","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","UCEC","Metastatic",69,"Adult","Female","caucasian"
"ACH-000436","OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"PCM","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","PCM","",NA,"Unknown","Male",""
"ACH-000437","SW1088_CENTRAL_NERVOUS_SYSTEM",NA,"ASTR","CNS/Brain","Diffuse Glioma","Astrocytoma","ASTR","Primary",72,"Adult","Male","caucasian"
"ACH-000438","LU65_LUNG",NA,"GCLC","Lung","Non-Small Cell Lung Cancer","Giant Cell Carcinoma of the Lung","GCLC","Primary",64,"Adult","Male","asian"
"ACH-000439","ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"AML","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML","Primary",40,"Adult","Male","asian"
"ACH-000440","CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"BL","Lymphoid","Mature B-Cell Neoplasms","Burkitt Lymphoma","BL","Primary",NA,"Unknown","Male",""
"ACH-000441","SH4_SKIN",NA,"MEL","Skin","Melanoma","Melanoma","MEL","Metastatic",60,"Adult","Female","caucasian"
"ACH-000442","RERFLCSQ1_LUNG",NA,"LUSC","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","LUSC","Primary",74,"Adult","Female","asian"
"ACH-000443","OVKATE_OVARY",NA,"HGSOC","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","HGSOC","Primary",40,"Adult","Female","asian"
"ACH-000444","LU99_LUNG",NA,"GCLC","Lung","Non-Small Cell Lung Cancer","Giant Cell Carcinoma of the Lung","GCLC","Metastatic",63,"Adult","Male","asian"
"ACH-000445","KNS60_CENTRAL_NERVOUS_SYSTEM",NA,"GB","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Primary",55,"Adult","Male",""
"ACH-000446","KPNSI9S_AUTONOMIC_GANGLIA",NA,"NBL","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","NBL","Metastatic",5,"Pediatric","Male",""
"ACH-000447","NCIH2228_LUNG",NA,"LUAD","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD","Primary",NA,"Unknown","Female",""
"ACH-000448","NCIH1666_LUNG",NA,"LUAD","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD","Metastatic",50,"Adult","Female","caucasian"
"ACH-000449","MESSA_SOFT_TISSUE",NA,"USARC","Uterus","Uterine Sarcoma/Mesenchymal","Uterine Sarcoma/Mesenchymal","USARC","Primary",56,"Adult","Female","caucasian"
"ACH-000450","MELHO_SKIN",NA,"MEL","Skin","Melanoma","Melanoma","MEL","Primary",NA,"Unknown","Female",""
"ACH-000451","NCIH2085_LUNG",NA,"LUAD","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD","Primary",45,"Adult","Male",""
"ACH-000452","TE8_OESOPHAGUS",NA,"ESCC","Esophagus/Stomach","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma","ESCC","",63,"Adult","Male",""
"ACH-000453","MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"PCM","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","PCM","Primary",55,"Adult","Male",""
"ACH-000454","HCC95_LUNG",NA,"LUSC","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","LUSC","Metastatic",65,"Adult","Male","caucasian"
"ACH-000455","LN428_CENTRAL_NERVOUS_SYSTEM",NA,"GB","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Primary",48,"Adult","Male",""
"ACH-000456","BCPAP_THYROID",NA,"THPD","Thyroid","Poorly Differentiated Thyroid Cancer","Poorly Differentiated Thyroid Cancer","THPD","Primary",76,"Adult","Female",""
"ACH-000457","CAL54_KIDNEY",NA,"RCC","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","RCC","Metastatic",75,"Adult","Male",""
"ACH-000458","CJM_SKIN",NA,"MEL","Skin","Melanoma","Melanoma","MEL","Metastatic",NA,"Unknown","Male",""
"ACH-000459","TUHR10TKB_KIDNEY",NA,"CCRCC","Kidney","Renal Cell Carcinoma","Renal Clear Cell Carcinoma","CCRCC","Primary",69,"Adult","Male",""
"ACH-000460","SNU8_OVARY",NA,"SOC","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Serous Ovarian Cancer","SOC","Metastatic",55,"Adult","Female","asian"
"ACH-000461","SNU1196_BILIARY_TRACT",NA,"EHCH","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Extrahepatic Cholangiocarcinoma","EHCH","Primary",NA,"Unknown","Unknown",""
"ACH-000462","NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"CMLBCRABL1","Myeloid","Myeloproliferative Neoplasms","Chronic Myeloid Leukemia, BCR-ABL1+","CMLBCRABL1","Primary",3,"Pediatric","Female",""
"ACH-000463","NCIH460_LUNG",NA,"LCLC","Lung","Non-Small Cell Lung Cancer","Large Cell Lung Carcinoma","LCLC","Metastatic",NA,"Unknown","Male",""
"ACH-000464","CAS1_CENTRAL_NERVOUS_SYSTEM",NA,"GB","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Primary",63,"Adult","Male",""
"ACH-000465","SKMEL1_SKIN",NA,"MEL","Skin","Melanoma","Melanoma","MEL","Metastatic",29,"Adult","Male","caucasian"
"ACH-000466","SNU216_STOMACH",NA,"TSTAD","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Tubular Stomach Adenocarcinoma","TSTAD","Metastatic",46,"Adult","Female","asian"
"ACH-000467","HCC56_LARGE_INTESTINE",NA,"COAD","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD","Primary",NA,"Unknown","Unknown",""
"ACH-000468","PK45H_PANCREAS",NA,"PAAD","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD","Primary",NA,"Unknown","Unknown",""
"ACH-000469","YH13_CENTRAL_NERVOUS_SYSTEM",NA,"GB","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Primary",40,"Adult","Male",""
"ACH-000470","SW1463_LARGE_INTESTINE",NA,"READ","Bowel","Colorectal Adenocarcinoma","Rectal Adenocarcinoma","READ","Primary",66,"Adult","Female","caucasian"
"ACH-000471","LI7_LIVER",NA,"HCC","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","HCC","Primary",45,"Adult","Male",""
"ACH-000472","HSC2_UPPER_AERODIGESTIVE_TRACT",NA,"OCSC","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","OCSC","Metastatic",69,"Adult","Male",""
"ACH-000473","RT112_URINARY_TRACT",NA,"BLCA","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","BLCA","Primary",NA,"Unknown","Female",""
"ACH-000475","HUH1_LIVER",NA,"HCC","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","HCC","Primary",53,"Adult","Male","asian"
"ACH-000476","JHH4_LIVER",NA,"HCC","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","HCC","Primary",51,"Adult","Male","asian"
"ACH-000477","MALME3M_SKIN",NA,"MEL","Skin","Melanoma","Melanoma","MEL","Metastatic",43,"Adult","Male","caucasian"
"ACH-000478","SNU387_LIVER",NA,"HCC","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","HCC","Primary",41,"Adult","Female","asian"
"ACH-000479","KNS81_CENTRAL_NERVOUS_SYSTEM",NA,"GB","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Primary",65,"Adult","Male",""
"ACH-000480","HUH7_LIVER",NA,"HCC","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","HCC","Primary",57,"Adult","Male","asian"
"ACH-000481","NCIH2170_LUNG",NA,"LUSC","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","LUSC","Primary",NA,"Unknown","Male",""
"ACH-000482","RERFLCKJ_LUNG",NA,"LUAD","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD","Primary",78,"Adult","Male",""
